lat,long
40.01179504394531,-82.97319793701172
41.66270446777344,-91.547698974609375
37.751007080078125,-97.8219985961914
40.744293212890625,-73.97810363769531
41.58050537109375,-93.74469757080078
41.24029541015625,-95.99800109863281
41.63810729980469,-93.62030029296875
41.60670471191406,-93.745697021484375
38.95170593261719,-92.33409881591797
41.60670471191406,-93.745697021484375
28.072006225585938,-81.96089935302734
38.61109924316406,-90.32250213623047
40.730804443359375,-73.99749755859375
40.444000244140625,-86.92369842529297
42.018798828125,-91.66120147705078
40.108795166015625,-82.97419738769531
43.6322021484375,-116.2052001953125
40.79389953613281,-74.02580261230469
41.61219787597656,-93.52960205078125
41.291900634765625,-95.9999008178711
38.95170593261719,-92.33409881591797
41.56950378417969,-93.79940032958984
40.08470153808594,-82.798797607421875
40.79339599609375,-96.7479019165039
41.2073974609375,-96.06120300292969
41.58869934082031,-93.62120056152344
40.585296630859375,-105.08439636230469
33.906005859375,-84.18399810791016
18.975006103515625,72.8258056640625
41.56950378417969,-93.79940032958984
33.906005859375,-84.18399810791016
33.906005859375,-84.18399810791016
39.49800109863281,-119.82389831542969
42.728302001953125,-84.48819732666016
35.68499755859375,139.75140380859375
44.91239929199219,-93.31880187988281
33.862701416015625,-84.41999816894531
41.673004150390625,-93.70279693603516
40.694000244140625,-73.99030303955078
38.912200927734375,-77.0177001953125
33.72169494628906,-84.33390045166016
33.862701416015625,-84.41999816894531
40.037506103515625,-105.277099609375
30.342300415039062,-97.66729736328125
37.95060729980469,-87.856903076171875
42.03599548339844,-93.46520233154297
42.03599548339844,-93.46520233154297
42.03599548339844,-93.46520233154297
33.54460144042969,-86.92919921875
42.03790283203125,-93.60030364990234
43.64039611816406,-79.39949798583984
42.2904052734375,-93.77510070800781
37.29829406738281,-120.46490478515625
40.12669372558594,-75.5271987915039
42.03599548339844,-93.46520233154297
34.27400207519531,-92.09100341796875
41.62550354003906,-93.67359924316406
42.28999328613281,-91.682403564453125
43.60600280761719,-79.6707992553711
44.9779052734375,-93.21990203857422
39.99249267578125,-75.1415023803711
41.58050537109375,-93.74469757080078
-1.9535980224609375,30.060592651367188
32.56669616699219,74.08329772949219
41.63810729980469,-93.62030029296875
46.9208984375,-96.83180236816406
40.75469970703125,-73.99250030517578
41.744293212890625,-91.6061019897461
44.90069580078125,-93.5791015625
44.9779052734375,-93.21990203857422
44.95500183105469,-93.38289642333984
40.09989929199219,-83.01570129394531
41.71940612792969,-93.62660217285156
42.243896484375,-83.58300018310547
34.83050537109375,-87.65599822998047
42.15980529785156,-87.96440124511719
44.98350524902344,-93.26830291748047
41.871307373046875,-87.62770080566406
40.80189514160156,-73.9531021118164
44.98350524902344,-93.26830291748047
38.90330505371094,-77.12629699707031
42.03599548339844,-93.46520233154297
44.94270324707031,-93.28710174560547
41.58869934082031,-93.62120056152344
39.50700378417969,-84.74520111083984
